air_temp_prev2,air_temp_prev1,air_temp,humidity_prev2,humidity_prev1,humidity,soil_moisture_prev2,soil_moisture_prev1,soil_moisture,leaf_temp_delta_prev2,leaf_temp_delta_prev1,leaf_temp_delta,future_label
25.3,25.3,24.4,71.8,69.9,74.1,72.5,72.1,72.4,1.6,1.4,0.5,stable
27.5,28.1,26.9,70.0,67.3,71.9,72.9,74.3,71.5,0.2,0.8,1.1,stable
29.0,33.8,34.8,56.1,48.3,43.6,60.5,40.7,28.2,1.2,2.8,5.9,future_water_stress
26.5,25.5,26.2,66.8,66.8,69.8,75.5,73.6,74.0,0.9,1.2,1.6,stable
30.9,33.2,40.0,59.8,45.2,26.0,69.8,50.6,49.8,1.2,3.4,5.5,future_heat_stress
28.8,34.5,36.4,62.6,46.6,27.6,61.5,52.3,58.7,2.1,3.5,7.6,future_heat_stress
30.6,30.8,31.5,60.6,57.8,42.4,55.1,52.6,44.6,1.5,3.6,3.1,future_root_zone_stress
27.2,28.0,26.8,61.9,62.2,59.5,62.4,63.1,63.5,0.3,1.9,1.3,stable
28.8,30.8,32.1,56.8,52.9,44.7,60.8,52.8,31.9,1.7,2.2,5.9,future_water_stress
27.1,29.2,29.5,51.7,46.5,43.7,59.1,49.4,43.8,2.8,3.9,4.6,future_root_zone_stress
29.6,29.1,30.4,78.5,77.3,79.9,66.1,66.9,64.5,1.1,0.6,0.7,stable
28.5,34.9,37.9,60.8,41.3,28.1,67.0,54.3,49.9,2.3,3.9,5.9,future_heat_stress
28.6,29.0,29.5,54.6,53.2,40.3,59.2,53.3,45.3,1.4,2.5,3.2,future_root_zone_stress
30.1,30.9,30.1,60.3,45.7,40.5,57.5,49.4,42.5,2.7,3.9,3.6,future_root_zone_stress
31.9,33.0,39.4,60.6,40.2,30.4,59.8,54.0,53.6,1.8,3.9,5.3,future_heat_stress
27.6,29.9,31.5,51.5,59.1,53.2,55.0,54.3,41.1,1.7,3.2,4.8,future_root_zone_stress
29.2,33.4,39.0,55.6,48.3,31.3,58.7,62.9,52.9,2.7,4.7,5.3,future_heat_stress
28.2,28.4,27.9,62.7,65.4,65.5,64.0,65.7,64.1,1.7,0.2,0.3,stable
30.9,32.4,30.5,62.0,48.0,52.2,50.9,45.4,43.0,3.0,3.5,3.1,future_root_zone_stress
30.3,28.3,30.5,57.4,50.5,41.2,52.8,46.3,43.9,2.5,3.8,4.4,future_root_zone_stress
29.4,29.4,29.1,79.9,79.0,80.4,62.1,60.4,60.8,1.8,0.6,0.2,stable
28.5,33.9,33.2,62.7,50.1,40.5,64.1,53.3,29.1,1.9,3.1,4.5,future_water_stress
29.6,33.4,34.2,63.4,52.8,39.5,58.1,45.1,34.3,1.1,2.6,5.1,future_water_stress
26.8,26.3,26.2,67.3,64.4,68.1,66.8,65.2,67.2,1.5,1.2,0.0,stable
30.8,32.3,30.4,62.4,59.2,40.8,57.6,51.6,43.2,1.8,3.8,4.7,future_root_zone_stress
29.6,30.6,29.7,67.6,67.1,67.4,60.4,60.8,60.2,1.0,1.7,1.9,stable
30.5,32.3,33.3,62.3,48.5,43.0,56.5,41.7,21.4,1.2,3.2,4.4,future_water_stress
29.2,28.8,30.0,69.7,67.1,71.0,61.3,61.3,60.1,0.9,0.1,1.5,stable
31.7,30.8,34.9,64.1,53.3,44.9,58.3,50.2,28.3,1.7,3.3,5.8,future_water_stress
29.3,30.2,30.0,74.5,73.3,76.7,77.7,78.6,76.4,1.6,1.0,0.4,stable
28.4,28.8,27.8,61.9,62.3,63.9,63.2,62.8,62.4,0.5,0.1,0.8,stable
25.8,26.4,25.3,71.8,72.3,70.1,72.7,72.3,70.8,1.1,0.5,0.6,stable
28.1,32.7,32.3,64.6,58.0,44.4,51.4,45.8,41.9,1.1,3.2,4.2,future_root_zone_stress
25.7,25.8,24.8,75.1,72.3,75.2,61.5,62.3,63.2,0.9,0.8,1.1,stable
28.2,34.7,39.6,58.2,48.3,37.0,68.9,51.1,46.6,1.5,4.1,7.6,future_heat_stress
31.9,28.6,34.0,62.5,56.1,47.2,53.9,51.5,48.1,1.3,3.0,3.2,future_root_zone_stress
28.9,28.8,30.0,53.2,49.3,49.5,59.2,52.1,45.8,1.5,3.4,3.3,future_root_zone_stress
28.3,30.4,32.8,59.3,46.5,44.5,56.5,49.9,47.4,2.3,2.5,4.9,future_root_zone_stress
30.2,35.4,39.2,59.8,42.6,35.1,59.0,59.3,49.3,1.2,4.3,6.3,future_heat_stress
28.9,32.4,36.1,57.6,40.6,37.9,69.5,58.5,50.8,2.4,3.7,5.6,future_heat_stress
29.7,32.2,39.3,57.1,48.3,31.3,58.7,55.6,58.9,1.9,3.8,5.1,future_heat_stress
29.6,31.2,35.0,61.5,50.1,41.2,63.1,41.0,38.7,2.0,2.1,5.9,future_water_stress
30.0,33.7,34.0,58.4,54.7,36.0,57.3,54.7,35.0,1.8,2.4,4.1,future_water_stress
27.9,28.3,28.4,70.4,72.9,70.9,69.3,69.8,68.7,0.8,1.2,1.1,stable
30.2,29.5,33.8,52.2,46.7,53.8,58.6,45.1,48.9,1.8,2.1,4.2,future_root_zone_stress
30.3,34.9,37.7,60.5,53.2,35.4,65.6,56.8,59.2,1.1,3.3,5.8,future_heat_stress
29.7,30.0,29.5,72.7,72.6,74.4,78.9,77.0,79.1,1.8,0.8,1.8,stable
31.5,31.4,33.8,61.4,54.7,44.4,60.0,48.7,30.5,1.9,2.6,5.7,future_water_stress
28.4,30.2,31.0,56.1,49.4,51.0,53.3,49.3,41.5,1.7,2.7,3.6,future_root_zone_stress
29.2,33.9,39.0,63.1,46.1,33.1,57.2,60.4,56.7,2.3,3.1,7.9,future_heat_stress
28.9,35.9,39.6,56.2,44.5,29.7,61.4,58.0,48.7,2.1,3.3,6.0,future_heat_stress
31.5,30.6,32.8,61.1,50.8,41.8,63.2,46.3,37.6,1.2,4.0,5.1,future_water_stress
29.8,29.0,29.7,65.5,64.3,63.9,63.8,64.1,65.4,1.3,0.7,0.6,stable
25.5,26.0,25.8,61.4,63.5,62.5,71.3,72.0,71.9,0.9,0.1,0.5,stable
28.0,31.0,35.9,58.1,46.0,38.5,64.4,46.3,26.2,1.3,3.0,5.8,future_water_stress
29.6,35.6,36.4,64.0,49.9,28.5,64.2,55.8,54.2,2.2,4.2,6.3,future_heat_stress
27.5,32.4,30.2,62.9,45.1,46.6,57.2,48.5,48.3,1.3,2.9,4.5,future_root_zone_stress
30.4,33.3,38.5,60.9,50.0,32.3,64.4,51.6,55.5,1.4,3.1,5.3,future_heat_stress
25.2,26.2,26.0,62.5,62.9,62.0,70.9,71.0,70.5,0.0,0.8,0.6,stable
30.6,29.3,31.5,60.6,49.0,52.6,58.9,49.5,40.8,1.3,2.5,3.4,future_root_zone_stress
29.0,29.6,29.1,55.9,55.7,41.6,50.0,54.6,49.6,1.8,3.9,4.7,future_root_zone_stress
31.0,30.9,29.9,64.3,58.0,54.3,53.1,53.1,45.8,2.0,3.8,3.9,future_root_zone_stress
30.7,30.7,35.6,64.4,52.6,35.1,60.0,49.5,32.8,1.2,2.4,4.3,future_water_stress
29.0,29.8,29.1,70.5,69.2,71.2,72.7,72.6,72.9,0.3,1.1,0.4,stable
27.2,31.5,29.5,61.3,53.6,48.6,58.4,45.4,46.7,1.2,3.4,3.6,future_root_zone_stress
28.3,35.9,36.1,61.0,46.0,36.1,66.6,63.6,56.9,1.8,3.3,5.7,future_heat_stress
29.2,35.5,37.7,62.7,48.8,33.4,55.4,57.9,53.1,2.0,3.6,7.7,future_heat_stress
28.8,29.6,28.6,69.0,67.4,68.9,66.0,64.9,65.2,1.4,0.8,0.7,stable
27.8,31.5,29.7,55.7,59.7,54.3,52.9,52.5,49.8,2.5,2.2,5.0,future_root_zone_stress
28.2,32.4,36.0,64.3,54.5,44.3,64.2,47.1,21.2,1.3,3.8,4.8,future_water_stress
25.2,25.5,26.1,68.3,68.2,68.8,60.2,61.8,60.8,0.0,1.7,2.0,stable
30.0,31.0,32.7,63.9,50.8,52.3,59.9,45.2,43.7,1.4,3.8,4.5,future_root_zone_stress
29.5,30.8,34.8,61.0,54.0,44.3,58.9,53.0,39.5,1.4,2.4,5.3,future_water_stress
27.6,32.7,32.5,54.0,47.3,43.2,55.7,45.4,45.0,1.7,2.2,4.8,future_root_zone_stress
29.5,33.7,38.1,60.4,53.9,29.9,61.2,61.2,54.9,1.2,3.6,5.8,future_heat_stress
28.6,32.7,35.6,64.7,52.1,42.8,62.0,47.9,23.2,1.7,3.2,5.9,future_water_stress
25.5,25.2,24.9,69.7,71.4,66.7,77.7,79.1,79.2,1.2,1.7,1.3,stable
25.9,26.1,25.1,62.5,59.6,60.0,72.2,73.2,71.7,1.4,0.0,1.3,stable
28.5,33.8,35.1,59.9,53.5,42.8,59.5,42.8,39.6,1.1,3.2,4.3,future_water_stress
30.4,34.9,38.5,57.0,41.4,31.5,69.8,62.8,49.8,2.7,4.7,5.6,future_heat_stress
27.4,27.1,27.6,60.2,62.1,59.1,65.6,66.6,65.9,0.3,0.1,1.3,stable
28.6,28.1,29.4,71.0,71.5,72.6,70.2,68.9,68.4,1.5,2.0,1.6,stable
28.5,30.7,33.4,60.1,45.6,52.8,55.0,52.4,42.2,2.1,3.1,3.3,future_root_zone_stress
30.6,33.8,38.3,64.5,51.6,35.1,56.4,56.1,50.0,1.0,3.2,5.7,future_heat_stress
28.3,32.5,37.3,57.0,52.0,33.1,66.6,62.4,57.7,2.1,4.0,5.4,future_heat_stress
28.8,33.0,39.9,61.7,44.2,27.9,64.4,52.2,50.6,2.5,4.5,7.2,future_heat_stress
31.1,33.0,37.5,60.5,45.2,34.0,67.4,51.9,52.1,2.1,4.6,7.9,future_heat_stress
27.4,30.8,30.6,64.7,51.2,49.3,51.5,51.5,49.0,1.1,3.1,3.2,future_root_zone_stress
28.4,30.7,34.3,62.3,46.8,42.0,64.7,45.8,33.4,1.1,3.7,4.5,future_water_stress
28.2,32.6,38.4,60.1,49.8,37.4,67.7,61.2,55.5,1.4,3.2,7.8,future_heat_stress
29.6,30.0,29.6,60.2,60.3,57.6,61.1,60.2,62.0,0.4,1.2,1.9,stable
30.4,31.3,30.7,54.2,49.2,44.5,58.7,52.4,40.2,2.0,2.3,4.3,future_root_zone_stress
27.7,28.4,33.9,55.5,54.7,50.4,54.9,55.0,42.5,2.0,3.0,4.5,future_root_zone_stress
29.8,34.7,38.1,55.3,50.6,33.6,55.8,57.0,59.0,1.0,3.7,6.1,future_heat_stress
27.9,30.6,32.6,56.2,51.9,43.6,59.2,51.9,40.3,1.5,3.8,4.7,future_root_zone_stress
31.3,33.5,36.7,64.0,46.8,38.9,62.1,64.8,56.3,1.4,5.0,6.7,future_heat_stress
31.8,35.6,37.6,60.6,42.4,36.0,65.0,56.7,59.1,2.1,3.9,5.8,future_heat_stress
31.4,32.8,33.9,60.0,49.1,37.6,55.1,52.8,24.7,1.9,2.7,4.1,future_water_stress
28.0,27.4,27.5,64.6,66.6,65.9,73.4,74.1,72.7,1.7,1.9,1.8,stable
27.7,31.7,32.9,55.4,57.7,43.7,56.4,48.0,43.7,1.8,3.9,4.4,future_root_zone_stress
29.6,35.3,38.1,56.8,49.3,27.0,65.8,58.6,57.9,1.9,3.3,7.6,future_heat_stress
28.3,32.7,35.2,61.0,51.8,36.2,55.2,49.4,30.4,1.8,2.1,4.8,future_water_stress
27.5,32.2,30.9,55.8,45.6,42.6,55.3,51.8,40.3,1.2,2.7,3.4,future_root_zone_stress
29.4,33.3,39.0,58.3,42.4,28.1,59.4,64.6,48.3,1.0,3.0,7.2,future_heat_stress
30.0,34.2,39.0,58.7,42.4,31.2,67.6,52.2,52.0,2.0,4.9,7.8,future_heat_stress
31.7,34.7,39.5,55.0,43.3,28.7,57.6,53.7,49.7,2.8,4.2,6.4,future_heat_stress
30.5,33.5,32.8,64.0,54.7,41.2,58.8,45.3,36.8,1.4,2.6,5.2,future_water_stress
29.8,32.9,30.3,60.7,48.6,49.3,57.2,46.2,40.7,1.9,3.7,4.5,future_root_zone_stress
29.0,34.9,38.8,58.5,48.7,32.9,57.3,58.0,55.5,2.7,3.0,6.3,future_heat_stress
28.9,30.2,33.7,64.4,48.1,40.0,55.9,40.4,25.7,1.7,2.2,5.6,future_water_stress
28.1,34.3,37.8,59.8,46.3,27.3,67.1,57.9,57.3,2.7,4.5,5.8,future_heat_stress
28.9,31.8,35.1,56.7,46.6,40.7,62.4,46.5,29.9,1.1,3.1,5.4,future_water_stress
27.1,26.8,27.1,73.3,71.4,74.5,67.8,66.3,68.9,0.6,1.5,0.4,stable
30.4,30.1,29.5,61.4,50.9,54.1,56.3,53.0,42.0,1.2,3.2,3.0,future_root_zone_stress
29.1,28.5,28.2,79.3,79.0,82.3,78.3,77.7,78.7,0.4,0.1,1.4,stable
27.0,27.9,26.7,77.6,78.6,79.3,63.0,61.5,61.8,1.9,1.3,0.3,stable
31.6,31.4,31.8,54.3,58.7,52.8,56.1,47.7,48.5,1.1,3.8,3.0,future_root_zone_stress
27.1,32.6,31.0,61.5,56.9,52.8,52.5,53.2,47.6,1.5,3.9,4.4,future_root_zone_stress
29.5,30.0,35.0,62.8,50.5,39.9,57.9,52.6,26.8,1.5,3.1,4.4,future_water_stress
28.3,27.9,29.2,66.3,67.1,65.5,65.0,66.7,64.1,0.3,0.9,0.8,stable
29.2,28.3,29.0,76.5,76.8,74.4,62.5,62.3,61.1,1.9,0.1,1.6,stable
29.1,33.1,36.5,55.5,52.9,25.7,59.7,60.8,47.4,1.7,4.0,5.3,future_heat_stress
29.8,28.5,33.2,56.0,49.5,53.6,54.6,52.8,43.6,1.3,2.5,4.3,future_root_zone_stress
28.2,30.2,33.4,54.2,52.6,46.0,54.6,54.3,44.7,3.0,3.4,4.4,future_root_zone_stress
26.3,26.3,26.4,80.0,81.1,79.2,69.8,68.5,67.9,1.1,0.8,0.1,stable
28.5,28.0,28.3,66.5,65.5,68.9,61.1,62.6,62.6,0.6,0.2,1.2,stable
28.9,28.5,30.7,60.6,45.8,47.5,51.7,48.6,43.6,1.3,3.4,4.1,future_root_zone_stress
28.3,29.0,28.3,78.6,81.5,79.8,65.6,66.8,64.8,0.4,1.7,0.4,stable
30.4,34.0,39.5,64.8,52.8,32.9,65.3,62.4,49.3,1.3,3.3,5.5,future_heat_stress
28.8,35.8,38.1,59.1,51.4,27.0,61.0,51.4,48.0,2.5,4.2,5.7,future_heat_stress
30.1,32.1,32.0,57.5,49.2,36.3,64.9,43.2,20.2,1.4,2.2,4.3,future_water_stress
30.0,32.6,36.0,59.4,47.3,40.8,60.9,52.8,34.3,1.4,3.4,4.3,future_water_stress
29.8,33.7,38.7,58.3,45.9,29.7,65.3,52.7,51.5,2.5,4.4,7.7,future_heat_stress
28.0,29.0,28.1,67.2,66.2,69.5,74.6,73.2,74.8,0.3,0.4,0.2,stable
28.9,30.8,32.2,53.2,59.5,48.5,59.5,46.3,40.6,2.6,3.7,4.2,future_root_zone_stress
28.5,33.5,36.9,60.3,41.5,30.0,58.0,64.0,48.4,1.9,3.5,7.4,future_heat_stress
27.8,28.1,32.6,57.3,49.2,48.1,58.7,53.8,48.6,2.5,2.6,3.0,future_root_zone_stress
30.2,34.9,36.6,62.9,40.4,29.9,56.2,53.8,58.0,1.4,4.3,6.1,future_heat_stress
29.1,31.8,32.8,59.5,48.6,42.8,57.9,52.6,26.6,1.6,3.1,5.8,future_water_stress
29.1,29.7,29.4,79.7,80.5,80.6,63.3,63.3,62.8,1.7,1.5,0.7,stable
28.7,30.4,30.3,52.7,55.3,47.1,50.7,50.6,49.1,2.1,2.1,3.8,future_root_zone_stress
28.6,29.2,33.5,53.9,51.8,41.2,52.0,54.1,42.0,1.8,2.3,4.9,future_root_zone_stress
30.1,31.1,32.1,56.6,47.5,38.1,57.3,47.1,38.3,1.0,3.8,4.4,future_water_stress
29.5,32.6,32.4,60.1,53.9,44.3,61.4,43.5,32.9,1.2,3.0,5.2,future_water_stress
28.7,28.2,33.1,64.8,45.3,43.8,57.2,47.1,42.3,2.0,2.2,3.3,future_root_zone_stress
25.3,24.7,25.9,63.7,60.8,62.5,61.1,61.1,61.5,1.4,1.5,1.1,stable
31.6,30.7,33.9,58.2,53.0,43.5,58.4,43.5,20.3,1.9,2.6,5.7,future_water_stress
28.3,33.5,38.5,57.2,46.3,28.9,58.8,57.4,56.6,2.2,3.3,5.5,future_heat_stress
25.8,26.5,26.6,63.2,61.6,64.9,72.1,71.9,70.5,0.4,1.0,1.7,stable
30.3,31.8,31.5,50.9,54.4,42.3,57.5,48.9,47.4,1.1,2.6,4.7,future_root_zone_stress
30.0,33.9,34.7,56.5,52.7,44.2,64.7,43.1,27.9,1.8,2.4,5.1,future_water_stress
28.8,29.3,32.5,61.8,51.8,53.1,56.3,45.7,46.1,2.8,3.8,4.1,future_root_zone_stress
29.1,30.0,35.6,57.0,52.7,43.6,60.4,47.0,37.1,1.1,3.9,4.2,future_water_stress
28.4,35.0,37.0,60.0,50.3,25.6,57.7,58.7,58.2,1.0,3.5,6.7,future_heat_stress
28.3,33.2,38.2,62.7,40.3,39.6,59.4,54.9,52.2,1.2,3.0,6.4,future_heat_stress
30.2,28.1,32.6,53.1,47.0,43.7,53.9,46.2,41.1,1.1,3.8,4.9,future_root_zone_stress
29.0,31.6,30.4,55.2,50.6,42.5,55.0,49.3,45.1,1.1,3.7,4.1,future_root_zone_stress
26.3,25.3,27.2,71.5,70.3,70.3,72.0,73.7,71.9,0.6,1.9,0.8,stable
29.6,33.5,37.7,55.6,40.5,32.3,70.0,60.6,46.2,1.2,4.8,7.7,future_heat_stress
25.4,26.0,26.2,77.1,79.4,78.0,70.8,70.6,70.0,1.6,1.7,1.1,stable
31.1,32.6,33.1,56.2,52.2,44.3,57.7,54.8,29.6,1.6,3.0,4.9,future_water_stress
28.4,35.1,36.2,58.4,41.9,35.4,64.1,54.4,53.9,2.8,3.7,7.9,future_heat_stress
25.4,26.1,25.8,63.5,65.4,63.0,62.9,64.8,63.9,1.5,0.4,1.6,stable
29.4,31.7,33.0,64.6,54.2,44.4,61.8,46.3,29.9,1.0,3.7,5.6,future_water_stress
28.3,27.8,29.0,79.1,80.6,77.5,75.1,74.8,75.1,0.3,1.9,0.2,stable
27.8,32.5,33.7,57.1,49.1,54.2,54.8,53.9,44.9,1.7,2.6,4.4,future_root_zone_stress
26.2,25.6,27.2,61.5,59.9,60.4,61.2,61.4,61.9,1.2,0.1,1.1,stable
28.3,32.4,37.3,63.8,46.2,33.0,70.0,56.1,50.8,1.1,4.9,7.2,future_heat_stress
28.6,34.3,37.8,59.1,49.5,34.1,60.5,60.3,59.5,1.2,3.4,7.2,future_heat_stress
27.8,28.6,27.9,61.3,62.4,63.8,67.3,67.7,65.9,0.8,1.3,1.7,stable
28.6,33.0,36.9,63.9,41.4,34.0,57.0,64.9,52.5,1.7,4.2,5.9,future_heat_stress
30.4,32.7,30.5,57.0,49.9,46.0,54.3,45.1,49.2,1.5,2.0,3.7,future_root_zone_stress
27.7,31.1,33.9,51.7,53.3,54.3,58.3,50.8,45.1,2.6,3.3,3.2,future_root_zone_stress
28.4,33.4,36.6,63.7,46.3,39.8,67.2,55.3,48.4,2.9,4.9,6.9,future_heat_stress
27.3,28.6,31.5,58.6,51.8,44.3,58.1,51.0,41.4,2.1,3.4,3.2,future_root_zone_stress
28.0,31.5,31.1,53.7,59.6,48.5,59.6,53.9,45.4,2.0,3.3,4.3,future_root_zone_stress
31.1,31.2,31.8,64.6,53.2,43.1,50.1,53.8,47.5,1.8,3.2,4.2,future_root_zone_stress
27.6,26.9,28.4,72.6,72.2,71.6,74.9,73.1,76.2,0.2,1.0,1.6,stable
28.1,29.9,29.3,50.0,58.3,53.3,56.8,46.6,45.7,2.2,3.6,4.8,future_root_zone_stress
29.4,28.7,29.7,73.5,70.8,74.8,71.1,69.1,72.2,1.3,1.1,0.1,stable
31.6,32.5,39.1,59.5,53.4,38.7,64.0,60.2,45.5,1.9,3.3,6.4,future_heat_stress
